,non_hit_mean,hit_mean,abs_diff
loudness,-9.127806484091629,-7.745291184059516,1.3825153000321126
instrumentalness,0.26768780257001834,0.12288921449156337,0.14479858807845497
tempo,121.3633634829353,121.49338700277559,0.13002351984029303
danceability,0.5300783672016873,0.5995551258780534,0.06947675867636605
acousticness,0.32540274435715066,0.2889099079282418,0.03649283642890888
valence,0.4538286127550494,0.4702067690485687,0.016378156293519297
energy,0.640023438531228,0.636686045819123,0.0033373927121049807
speechiness,0.09301956626775593,0.0910862799840465,0.0019332862837094233
